I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.12,0.065,-0.055,,,,,,,,,
0.122,0.067,-0.055,,,,,,,,,
0.125,0.07,-0.055,,,,,,,,,
0.125,0.07,-0.055,,,,,,,,,
0.127,0.074,-0.054,,,,,,,,,
0.143,0.078,-0.065,,,,,,,,,
0.152,0.082,-0.07,,,,,,,,,
0.15,0.086,-0.064,,,,,,,,,
0.15,0.085,-0.065,,,,,,,,,
0.142,0.081,-0.061,,,,,,,,,
0.139,0.08,-0.059,,,,,,,,,
0.139,0.078,-0.061,,,,,,,,,
0.134,0.074,-0.059,,,,,,,,,
0.13,0.075,-0.055,,,,,,,,,
0.131,0.075,-0.055,,,,,,,,,
0.124,0.072,-0.052,,,,,,,,,
0.119,0.069,-0.049,,,,,,,,,
0.121,0.07,-0.05,,,,,,,,,
0.12,0.07,-0.05,,,,,,,,,
0.112,0.066,-0.046,,,,,,,,,
0.106,0.064,-0.041,,,,,,,,,
0.106,0.066,-0.04,,,,,,,,,
0.103,0.064,-0.039,,,,,,,,,
0.095,0.06,-0.035,,,,,,,,,
0.095,0.06,-0.035,,,,,,,,,
0.094,0.061,-0.033,,,,,,,,,
0.084,0.056,-0.027,,,,,,,,,
0.073,0.048,-0.025,,,,,,,,,
0.07,0.045,-0.025,,,,,,,,,
0.062,0.041,-0.021,,,,,,,,,
0.057,0.037,-0.02,,,,,,,,,
0.051,0.033,-0.018,,,,,,,,,
0.044,0.029,-0.015,,,,,,,,,
,0.025,,-0.032,0.027,0.005,,,,,,
,0.021,,-0.028,0.025,0.003,,,,,,
,0.017,,-0.024,0.024,0.001,,,,,,
,0.013,,-0.019,0.019,0.0,,,,,,
,0.01,,-0.015,0.015,0.0,,,,,,
,0.01,,-0.015,0.015,0.0,,,,,,
,0.006,,-0.011,0.013,-0.001,,,,,,
,0.001,,-0.007,0.011,-0.004,,,,,,
,0.0,,-0.004,0.008,-0.004,,,,,,
,-0.001,,-0.001,0.004,-0.002,,,,,,
,-0.005,,0.003,0.003,-0.005,,,,,,
,-0.01,,0.008,0.0,-0.007,,,,,,
,-0.009,,0.008,0.0,-0.007,,,,,,
,-0.013,,0.011,-0.001,-0.009,,,,,,
,-0.022,,0.021,-0.007,-0.013,,,,,,
,-0.03,,0.03,-0.015,-0.015,,,,,,
,-0.034,,0.035,-0.017,-0.017,,,,,,
,-0.035,,0.035,-0.017,-0.017,,,,,,
,-0.035,,0.035,-0.017,-0.017,,,,,,
,-0.035,,0.035,-0.018,-0.017,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.036,,0.038,-0.022,-0.015,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.04,,0.042,-0.025,-0.017,,,,,,
,-0.041,,0.043,-0.025,-0.017,,,,,,
,-0.038,,0.04,-0.024,-0.016,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.021,-0.015,,,,,,
,-0.035,,0.038,-0.024,-0.014,,,,,,
,-0.035,,0.04,-0.027,-0.012,,,,,,
,-0.035,,0.04,-0.027,-0.012,,,,,,
,-0.035,,0.04,-0.027,-0.012,,,,,,
,-0.035,,0.04,-0.027,-0.012,,,,,,
,-0.035,,0.04,-0.027,-0.012,,,,,,
,-0.035,,0.04,-0.028,-0.012,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.042,-0.032,-0.01,,,,,,
,-0.035,,0.044,-0.035,-0.008,,,,,,
,-0.035,,0.045,-0.038,-0.007,,,,,,
,-0.035,,0.045,-0.037,-0.007,,,,,,
,-0.035,,0.045,-0.037,-0.007,,,,,,
,-0.031,,0.041,-0.035,-0.005,,,,,,
,-0.03,,0.039,-0.034,-0.005,,,,,,
,-0.03,,0.041,-0.037,-0.004,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.042,-0.04,-0.002,,,,,,
,-0.03,,0.04,-0.036,-0.005,,,,,,
,-0.03,,0.04,-0.034,-0.005,,,,,,
,-0.03,,0.04,-0.035,-0.005,,,,,,
,-0.029,,0.039,-0.034,-0.005,,,,,,
,-0.025,,0.035,-0.032,-0.002,,,,,,
,-0.025,,0.035,-0.032,-0.002,,,,,,
,-0.025,,0.035,-0.032,-0.002,,,,,,
,-0.025,,0.035,-0.032,-0.002,,,,,,
,-0.025,,0.035,-0.031,-0.002,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.024,,0.032,-0.027,-0.004,,,,,,
,-0.027,,0.033,-0.026,-0.007,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.025,-0.01,,,,,,
,-0.03,,0.035,-0.026,-0.01,,,,,,
,-0.03,,0.034,-0.023,-0.011,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.033,,0.035,-0.021,-0.014,,,,,,
,-0.036,,0.038,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.015,,,,,,
,-0.031,,0.033,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.032,-0.02,-0.012,,,,,,
,-0.03,,0.034,-0.024,-0.011,,,,,,
,-0.03,,0.036,-0.028,-0.008,,,,,,
,-0.03,,0.039,-0.032,-0.006,,,,,,
,-0.029,,0.04,-0.035,-0.004,,,,,,
,-0.025,,0.035,-0.032,-0.002,,,,,,
,-0.025,,0.032,-0.028,-0.004,,,,,,
,-0.025,,0.032,-0.027,-0.005,,,,,,
,-0.025,,0.032,-0.028,-0.005,,,,,,
,-0.025,,0.032,-0.026,-0.005,,,,,,
,-0.025,,0.03,-0.022,-0.007,,,,,,
,-0.025,,0.03,-0.022,-0.007,,,,,,
,-0.025,,0.03,-0.022,-0.007,,,,,,
,-0.025,,0.03,-0.022,-0.007,,,,,,
,-0.025,,0.03,-0.021,-0.008,,,,,,
,-0.025,,0.027,-0.017,-0.01,,,,,,
,-0.025,,0.027,-0.017,-0.01,,,,,,
,-0.026,,0.028,-0.017,-0.01,,,,,,
,-0.023,,0.025,-0.017,-0.009,,,,,,
,-0.02,,0.021,-0.014,-0.007,,,,,,
,-0.02,,0.02,-0.01,-0.01,,,,,,
,-0.02,,0.02,-0.01,-0.01,,,,,,
,-0.017,,0.017,-0.009,-0.008,,,,,,
,-0.014,,0.014,-0.005,-0.008,,,,,,
,-0.015,,0.013,-0.002,-0.01,,,,,,
,-0.015,,0.013,-0.002,-0.01,,,,,,
,-0.011,,0.009,0.0,-0.008,,,,,,
,-0.009,,0.008,0.0,-0.006,,,,,,
,-0.011,,0.007,0.002,-0.008,,,,,,
,-0.009,,0.004,0.006,-0.01,,,,,,
,-0.005,,0.0,0.008,-0.007,,,,,,
,-0.005,,0.0,0.008,-0.007,,,,,,
,-0.006,,0.0,0.008,-0.008,,,,,,
,-0.003,,-0.001,0.007,-0.005,,,,,,
,0.0,,-0.002,0.004,-0.001,,,,,,
,0.0,,0.0,0.0,0.0,,,,,,
,0.0,,0.002,-0.004,0.001,,,,,,
,0.003,,0.001,-0.007,0.005,,,,,,
,0.006,,0.0,-0.01,0.009,,,,,,
,0.005,,0.002,-0.013,0.01,,,,,,
,0.005,,0.002,-0.013,0.01,,,,,,
,0.009,,0.002,-0.019,0.016,,,,,,
,0.01,,0.003,-0.023,0.019,,,,,,
,0.01,,0.007,-0.029,0.022,,,,,,
,0.01,,0.011,-0.036,0.025,,,,,,
,0.01,,0.012,-0.04,0.027,,,,,,
,0.018,,0.008,-0.044,0.035,,,,,,
,0.023,,0.007,-0.048,0.041,,,,,,
,0.029,,0.0,-0.044,0.043,,,,,,
,0.036,,-0.01,-0.037,0.046,,,,,,
,0.04,,-0.013,-0.035,0.047,,,,,,
,0.044,,-0.019,-0.029,0.047,,,,,,
,0.045,,-0.02,-0.028,0.047,,,,,,
,0.045,,-0.021,-0.026,0.046,,,,,,
,0.045,,-0.023,-0.023,0.045,,,,,,
,0.045,,-0.023,-0.023,0.045,,,,,,
,0.045,,-0.025,-0.019,0.042,,,,,,
,0.045,,-0.025,-0.018,0.042,,,,,,
,0.045,,-0.026,-0.016,0.041,,,,,,
,0.045,,-0.028,-0.013,0.04,,,,,,
,0.045,,-0.028,-0.013,0.04,,,,,,
,0.045,,-0.03,-0.009,0.037,,,,,,
,0.046,,-0.031,-0.008,0.037,,,,,,
,0.042,,-0.028,-0.008,0.035,,,,,,
,0.033,,-0.021,-0.009,0.029,,,,,,
,0.025,,-0.013,-0.013,0.025,,,,,,
,0.017,,-0.007,-0.013,0.018,,,,,,
,0.009,,0.001,-0.016,0.014,,,,,,
,0.001,,0.008,-0.018,0.009,,,,,,
,-0.006,,0.013,-0.017,0.004,,,,,,
,-0.01,,0.017,-0.02,0.002,,,,,,
,-0.014,,0.019,-0.017,-0.001,,,,,,
,-0.019,,0.024,-0.019,-0.004,,,,,,
,-0.02,,0.024,-0.018,-0.006,,,,,,
,-0.021,,0.023,-0.015,-0.008,,,,,,
,-0.025,,0.027,-0.017,-0.01,,,,,,
,-0.025,,0.025,-0.013,-0.012,,,,,,
,-0.027,,0.027,-0.014,-0.013,,,,,,
,-0.033,,0.032,-0.014,-0.017,,,,,,
,-0.035,,0.033,-0.012,-0.02,,,,,,
,-0.035,,0.033,-0.012,-0.02,,,,,,
,-0.039,,0.035,-0.01,-0.024,,,,,,
,-0.04,,0.035,-0.011,-0.025,,,,,,
,-0.041,,0.034,-0.007,-0.027,,,,,,
,-0.047,,0.036,-0.002,-0.034,,,,,,
,-0.055,,0.043,-0.002,-0.04,,,,,,
,-0.059,,0.043,0.004,-0.046,,,,,,
,-0.063,,0.044,0.007,-0.05,,,,,,
,-0.068,,0.046,0.01,-0.055,,,,,,
,-0.07,,0.044,0.017,-0.061,,,,,,
,-0.065,,0.038,0.023,-0.06,,,,,,
,-0.065,,0.039,0.019,-0.058,,,,,,
,-0.065,,0.042,0.015,-0.056,,,,,,
,-0.065,,0.044,0.011,-0.054,,,,,,
,-0.064,,0.045,0.007,-0.051,,,,,,
,-0.06,,0.043,0.005,-0.047,,,,,,
,-0.06,,0.044,0.001,-0.045,,,,,,
,-0.06,,0.047,-0.003,-0.043,,,,,,
,-0.06,,0.049,-0.008,-0.041,,,,,,
,-0.059,,0.049,-0.01,-0.039,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.055,,0.045,-0.007,-0.037,,,,,,
,-0.051,,0.041,-0.005,-0.035,,,,,,
,-0.05,,0.04,-0.005,-0.035,,,,,,
,-0.05,,0.04,-0.005,-0.035,,,,,,
,-0.05,,0.04,-0.005,-0.035,,,,,,
,-0.05,,0.04,-0.005,-0.035,,,,,,
,-0.046,,0.036,-0.002,-0.033,,,,,,
,-0.045,,0.036,-0.005,-0.031,,,,,,
,-0.045,,0.038,-0.008,-0.03,,,,,,
,-0.045,,0.038,-0.007,-0.03,,,,,,
,-0.045,,0.038,-0.007,-0.03,,,,,,
,-0.045,,0.038,-0.007,-0.03,,,,,,
,-0.048,,0.041,-0.009,-0.031,,,,,,
,-0.052,,0.045,-0.011,-0.033,,,,,,
,-0.056,,0.049,-0.013,-0.035,,,,,,
,-0.06,,0.053,-0.015,-0.037,,,,,,
,-0.064,,0.057,-0.017,-0.039,,,,,,
,-0.068,,0.061,-0.019,-0.041,,,,,,
,-0.07,,0.063,-0.02,-0.042,,,,,,
,-0.07,,0.063,-0.02,-0.042,,,,,,
,-0.07,,0.063,-0.02,-0.042,,,,,,
,-0.07,,0.059,-0.013,-0.046,,,,,,
,-0.07,,0.054,-0.002,-0.051,,,,,,
,-0.07,,0.053,-0.001,-0.052,,,,,,
,-0.07,,0.055,-0.006,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.07,,0.055,-0.005,-0.05,,,,,,
,-0.071,,0.056,-0.005,-0.05,,,,,,
,-0.068,,0.053,-0.004,-0.049,,,,,,
,-0.073,,0.058,-0.006,-0.052,,,,,,
,-0.085,,0.07,-0.012,-0.057,,,,,,
,-0.074,,0.061,-0.011,-0.049,,,,,,
,-0.063,,0.051,-0.007,-0.043,,,,,,
,-0.057,,0.045,-0.003,-0.04,,,,,,
,-0.047,,0.035,0.001,-0.036,,,,,,
,-0.035,,0.023,0.008,-0.03,,,,,,
,-0.026,,0.013,0.014,-0.026,,,,,,
,-0.023,,0.014,0.009,-0.021,,,,,,
,0.003,,-0.025,0.047,-0.021,,,,,,
,0.052,,-0.099,0.121,-0.021,,,,,,
,0.095,,-0.16,0.177,-0.017,,,,,,
,0.139,,-0.228,0.247,-0.02,,,,,,
,0.188,,-0.294,0.308,-0.014,,,,,,
,0.261,,-0.361,0.331,0.03,,,,,,
,0.353,,-0.434,0.339,0.096,,,,,,
,0.445,,-0.51,0.352,0.157,,,,,,
,0.535,,-0.568,0.333,0.234,,,,,,
,0.606,,-0.61,0.31,0.299,,,,,,
,0.66,,-0.619,0.247,0.371,,,,,,
,0.689,,-0.605,0.175,0.429,,,,,,
,0.695,,-0.593,0.142,0.45,,,,,,
,0.704,,-0.562,0.067,0.494,,,,,,
,0.663,,-0.494,-0.007,0.501,,,,,,
,0.616,,-0.461,-0.003,0.463,,,,,,
,0.55,,-0.432,0.037,0.394,,,,,,
,0.405,,-0.315,0.022,0.292,,,,,,
,0.242,,-0.179,-0.004,0.183,,,,,,
,0.116,,-0.083,-0.008,0.09,,,,,,
,0.066,,-0.047,-0.005,0.051,,,,,,
,0.065,,-0.044,-0.009,0.052,,,,,,
,0.055,,-0.035,-0.013,0.047,,,,,,
,0.043,,-0.022,-0.019,0.041,,,,,,
,0.034,,-0.016,-0.02,0.035,,,,,,
,0.024,,-0.008,-0.022,0.029,,,,,,
,0.012,,0.005,-0.03,0.024,,,,,,
,0.005,,0.012,-0.033,0.02,,,,,,
,-0.003,,0.018,-0.032,0.014,,,,,,
,-0.014,,0.029,-0.036,0.007,,,,,,
,-0.025,,0.04,-0.043,0.003,,,,,,
,-0.032,,0.046,-0.045,-0.001,,,,,,
,-0.04,,0.052,-0.045,-0.007,,,,,,
,-0.052,,0.064,-0.05,-0.014,,,,,,
,-0.059,,0.072,-0.055,-0.017,,,,,,
,-0.06,,0.071,-0.053,-0.018,,,,,,
,-0.061,,0.071,-0.05,-0.021,,,,,,
,-0.065,,0.075,-0.052,-0.022,,,,,,
,-0.065,,0.075,-0.052,-0.022,,,,,,
,-0.068,,0.076,-0.051,-0.025,,,,,,
,-0.071,,0.078,-0.05,-0.028,,,,,,
,-0.069,,0.076,-0.05,-0.026,,,,,,
,-0.065,,0.072,-0.047,-0.025,,,,,,
,-0.065,,0.07,-0.043,-0.027,,,,,,
,-0.065,,0.07,-0.042,-0.027,,,,,,
,-0.065,,0.07,-0.042,-0.027,,,,,,
,-0.065,,0.07,-0.042,-0.027,,,,,,
,-0.065,,0.07,-0.042,-0.027,,,,,,
,-0.065,,0.072,-0.046,-0.025,,,,,,
,-0.066,,0.073,-0.048,-0.025,,,,,,
,-0.063,,0.07,-0.046,-0.024,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.06,,0.067,-0.045,-0.022,,,,,,
,-0.057,,0.064,-0.043,-0.021,,,,,,
,-0.054,,0.061,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.055,,0.062,-0.042,-0.02,,,,,,
,-0.051,,0.058,-0.04,-0.018,,,,,,
,-0.08,,0.087,-0.055,-0.033,,,,,,
,-0.097,,0.104,-0.063,-0.041,,,,,,
,-0.089,,0.096,-0.059,-0.036,,,,,,
,-0.09,,0.097,-0.06,-0.037,,,,,,
,-0.086,,0.093,-0.058,-0.035,,,,,,
,-0.084,,0.091,-0.056,-0.035,,,,,,
,-0.086,,0.094,-0.06,-0.034,,,,,,
,-0.084,,0.098,-0.07,-0.028,,,,,,
,-0.08,,0.097,-0.075,-0.022,,,,,,
,-0.08,,0.093,-0.067,-0.026,,,,,,
,-0.081,,0.091,-0.062,-0.029,,,,,,
,-0.078,,0.087,-0.057,-0.03,,,,,,
,-0.075,,0.081,-0.051,-0.03,,,,,,
,-0.075,,0.08,-0.047,-0.032,,,,,,
,-0.075,,0.078,-0.043,-0.035,,,,,,
,-0.072,,0.073,-0.038,-0.035,,,,,,
,-0.069,,0.068,-0.032,-0.036,,,,,,
,-0.07,,0.068,-0.03,-0.037,,,,,,
,-0.07,,0.068,-0.03,-0.037,,,,,,
,-0.066,,0.062,-0.024,-0.037,,,,,,
,-0.062,,0.056,-0.02,-0.036,,,,,,
,-0.058,,0.054,-0.021,-0.033,,,,,,
,-0.054,,0.052,-0.022,-0.029,,,,,,
,-0.05,,0.048,-0.02,-0.027,,,,,,
,-0.046,,0.044,-0.017,-0.025,,,,,,
,-0.045,,0.043,-0.017,-0.025,,,,,,
,-0.043,,0.041,-0.016,-0.024,,,,,,
,-0.04,,0.038,-0.015,-0.022,,,,,,
,-0.04,,0.038,-0.015,-0.022,,,,,,
,-0.036,,0.034,-0.012,-0.02,,,,,,
,-0.035,,0.033,-0.012,-0.02,,,,,,
,-0.033,,0.031,-0.011,-0.019,,,,,,
,-0.029,,0.027,-0.01,-0.017,,,,,,
,-0.03,,0.028,-0.01,-0.017,,,,,,
,-0.031,,0.029,-0.01,-0.017,,,,,,
,-0.027,,0.025,-0.008,-0.016,,,,,,
,-0.025,,0.023,-0.007,-0.015,,,,,,
,-0.024,,0.022,-0.007,-0.014,,,,,,
,-0.02,,0.018,-0.005,-0.012,,,,,,
,-0.02,,0.016,-0.001,-0.015,,,,,,
,-0.017,,0.012,0.002,-0.013,,,,,,
,-0.014,,0.008,0.005,-0.013,,,,,,
,-0.016,,0.009,0.008,-0.016,,,,,,
,-0.015,,0.008,0.008,-0.015,,,,,,
,-0.003,,-0.006,0.018,-0.011,,,,,,
,0.007,,-0.017,0.024,-0.007,,,,,,
,0.013,,-0.022,0.025,-0.003,,,,,,
,0.023,,-0.03,0.026,0.004,,,,,,
,0.035,,-0.042,0.032,0.01,,,,,,
,0.043,,-0.05,0.036,0.014,,,,,,
,0.051,,-0.058,0.04,0.018,,,,,,
,0.058,,-0.065,0.044,0.021,,,,,,
,0.06,,-0.067,0.045,0.022,,,,,,
,0.06,,-0.067,0.045,0.022,,,,,,
,0.06,,-0.067,0.045,0.022,,,,,,
,0.063,,-0.069,0.043,0.025,,,,,,
,0.066,,-0.071,0.042,0.028,,,,,,
,0.064,,-0.069,0.042,0.027,,,,,,
,0.065,,-0.07,0.042,0.027,,,,,,
,0.081,,-0.086,0.05,0.035,,,,,,
,0.09,,-0.095,0.055,0.04,,,,,,
,0.09,,-0.095,0.055,0.04,,,,,,
,0.1,,-0.105,0.059,0.044,,,,,,
,0.12,,-0.125,0.07,0.055,,,,,,
,0.117,,-0.123,0.072,0.052,,,,,,
,0.114,,-0.123,0.075,0.048,,,,,,
,0.115,,-0.126,0.079,0.046,,,,,,
,0.115,,-0.127,0.083,0.044,,,,,,
,0.115,,-0.13,0.087,0.042,,,,,,
,0.115,,-0.132,0.091,0.04,,,,,,
,0.114,,-0.131,0.092,0.039,,,,,,
,0.118,,-0.135,0.092,0.042,,,,,,
,0.127,,-0.141,0.092,0.049,,,,,,
,0.13,,-0.142,0.09,0.052,,,,,,
,0.126,,-0.138,0.088,0.05,,,,,,
,0.125,,-0.136,0.085,0.051,,,,,,
,0.123,,-0.132,0.079,0.052,,,,,,
,0.12,,-0.127,0.075,0.052,,,,,,
,0.12,,-0.127,0.075,0.052,,,,,,
,0.116,,-0.121,0.068,0.052,,,,,,
,0.115,,-0.12,0.067,0.052,,,,,,
,0.113,,-0.117,0.064,0.052,,,,,,
,0.11,,-0.112,0.06,0.052,,,,,,
,0.11,,-0.112,0.06,0.052,,,,,,
,0.106,,-0.106,0.053,0.052,,,,,,
,0.106,,-0.106,0.052,0.052,,,,,,
,0.102,,-0.101,0.048,0.052,,,,,,
,0.093,,-0.091,0.041,0.049,,,,,,
,0.09,,-0.088,0.04,0.047,,,,,,
,0.086,,-0.081,0.033,0.047,,,,,,
,0.082,,-0.077,0.031,0.046,,,,,,
,0.078,,-0.071,0.025,0.045,,,,,,
,0.074,,-0.064,0.015,0.047,,,,,,
,0.07,,-0.058,0.01,0.047,,,,,,
,0.062,,-0.048,0.002,0.045,,,,,,
,0.056,,-0.04,-0.006,0.045,,,,,,
,0.054,,-0.037,-0.007,0.044,,,,,,
,0.048,,-0.033,-0.005,0.039,,,,,,
,0.04,,-0.025,-0.01,0.035,,,,,,
,0.036,,-0.021,-0.013,0.032,,,,,,
,0.032,,-0.017,-0.014,0.031,,,,,,
,0.028,,-0.013,-0.016,0.029,,,,,,
,0.025,,-0.01,-0.018,0.027,,,,,,
,0.025,,-0.01,-0.018,0.027,,,,,,
,0.025,,-0.01,-0.018,0.027,,,,,,
,0.022,,-0.007,-0.019,0.026,,,,,,
,0.02,,-0.004,-0.02,0.025,,,,,,
,0.02,,-0.005,-0.02,0.025,,,,,,
,0.02,,-0.005,-0.02,0.025,,,,,,
,0.02,,-0.005,-0.02,0.025,,,,,,
,0.017,,-0.004,-0.019,0.022,,,,,,
,0.014,,-0.003,-0.018,0.019,,,,,,
,0.015,,-0.003,-0.018,0.02,,,,,,
,0.015,,-0.003,-0.018,0.02,,,,,,
,0.015,,-0.003,-0.018,0.02,,,,,,
,0.012,,0.0,-0.019,0.018,,,,,,
,0.009,,0.003,-0.02,0.017,,,,,,
,0.01,,0.002,-0.02,0.017,,,,,,
,0.01,,0.002,-0.02,0.017,,,,,,
,0.006,,0.006,-0.023,0.015,,,,,,
,0.005,,0.007,-0.023,0.015,,,,,,
,0.005,,0.007,-0.023,0.015,,,,,,
,0.005,,0.007,-0.023,0.015,,,,,,
,0.005,,0.007,-0.023,0.015,,,,,,
,0.001,,0.015,-0.033,0.016,,,,,,
,0.0,,0.02,-0.039,0.019,,,,,,
,0.0,,0.021,-0.042,0.021,,,,,,
,0.0,,0.022,-0.045,0.022,,,,,,
,0.0,,0.022,-0.045,0.022,,,,,,
,0.004,,0.018,-0.043,0.025,,,,,,
,0.005,,0.017,-0.043,0.025,,,,,,
,0.007,,0.015,-0.042,0.026,,,,,,
,0.011,,0.011,-0.039,0.027,,,,,,
,0.01,,0.012,-0.04,0.027,,,,,,
,0.009,,0.015,-0.044,0.029,,,,,,
,0.013,,0.012,-0.044,0.032,,,,,,
,0.015,,0.01,-0.043,0.032,,,,,,
,0.016,,0.009,-0.043,0.032,,,,,,
,0.02,,0.005,-0.04,0.035,,,,,,
,0.02,,0.005,-0.04,0.035,,,,,,
,0.019,,0.005,-0.04,0.034,,,,,,
,0.022,,0.004,-0.041,0.037,,,,,,
,0.025,,0.002,-0.043,0.04,,,,,,
,0.025,,0.002,-0.043,0.04,,,,,,
,0.029,,-0.002,-0.04,0.042,,,,,,
